Model,RMSE,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,fit_intercept
Random Forest,3.321966794828344,100.0,2.0,2.0,,20.0,
Linear Regression,0.0051175249092425545,,,,,,True
