,RMSE,MAE,R2,MSE
Linear Regression,0.005121145304304127,0.004313893334160997,0.9999995017984742,2.6226129227796208e-05
Random Forest,3.377998876329561,2.5506552875939215,0.7832346516516043,11.410876408483778
Random Forest Optimized,3.415278583787608,2.5604372996854208,0.7784237918022803,11.664127804878289
